ids,probability for 1
1106,0.029209767
1107,0.055162244
1108,0.055055212
1109,0.029423708
1113,0.042675383
1114,0.049197126
1116,0.04185011
1117,0.046696994
1118,0.037468214
1119,0.029335264
1120,0.026767181
1121,0.04783455
1122,0.043292012
1123,0.046863742
1125,0.032539863
1126,0.061478592
1127,0.02923306
1128,0.053747833
1129,0.05835613
1130,0.040911708
1132,0.034099072
1133,0.05689521
1136,0.03372184
1137,0.04635729
1140,0.045965396
1142,0.0520132
1144,0.053906098
1145,0.040673528
1146,0.03149388
1148,0.05042086
1150,0.033548914
1151,0.037209563
1153,0.07472396
1154,0.049047038
1155,0.058236722
1156,0.044814724
1157,0.032373007
1158,0.039792612
1160,0.03345762
1161,0.040226705
1167,0.033031072
1168,0.04472396
1170,0.032686863
1171,0.048302397
1173,0.042667996
1174,0.062064096
1175,0.052583713
1176,0.050035655
1177,0.040665552
1178,0.03890118
1179,0.032163877
1180,0.027978847
1181,0.05145955
1182,0.034134742
1183,0.04713325
1185,0.046013426
1188,0.0416551
1189,0.035918422
1190,0.039788
1191,0.05138163
1192,0.048003998
1194,0.04066052
1197,0.043827835
1198,0.04760047
1199,0.045026124
1200,0.046663783
1203,0.042613536
1204,0.053706523
1207,0.044025674
1208,0.053338557
1209,0.0385451
1210,0.07472396
1211,0.03867123
1213,0.04052579
1214,0.03270755
1215,0.04479097
1216,0.054493032
1217,0.036889136
1218,0.03869265
1219,0.037070744
1223,0.05670988
1225,0.048863277
1226,0.036746524
1228,0.0538642
1229,0.040124826
1231,0.048592128
1232,0.053593814
1233,0.039883535
1235,0.047978025
1238,0.032071274
1239,0.029388998
1240,0.035961207
1241,0.02948456
1242,0.048862122
1243,0.04179072
1244,0.041422136
1246,0.053363062
1249,0.046921022
1250,0.024523614
1252,0.024997752
1254,0.040107474
1255,0.03156571
1256,0.03489415
1257,0.031649742
1258,0.03626303
1259,0.056202695
1260,0.0405871
1262,0.03479696
1263,0.040442143
1264,0.036919467
1265,0.057503987
1266,0.028147677
1269,0.03517388
1270,0.029849013
1271,0.031812306
1272,0.049914896
1273,0.04384614
1274,0.050551224
1277,0.045527633
1278,0.040963344
1281,0.035566308
1282,0.06632418
1283,0.03999172
1284,0.028838238
1285,0.04156734
1286,0.07472396
1289,0.031640776
1291,0.035562426
1292,0.039718714
1293,0.057365675
1294,0.062227387
1295,0.05287459
1297,0.036277026
1298,0.05320788
1301,0.04829212
1304,0.04432871
1305,0.03421074
1307,0.046379566
1308,0.039560445
1309,0.06368341
1313,0.060619
1314,0.05933466
1316,0.045560632
1317,0.03722423
1318,0.05417682
1320,0.045696203
1321,0.030425183
1322,0.030025104
1323,0.03117759
1325,0.053396534
1330,0.035909753
1331,0.04546198
1334,0.0481621
1337,0.034143616
1339,0.04850726
1340,0.048228454
1341,0.039135084
1343,0.029402085
1344,0.043182407
1347,0.043078
1348,0.047456495
1350,0.031127295
1351,0.04645036
1355,0.04795348
1356,0.05722431
1357,0.04170614
1358,0.032953005
1360,0.04281554
1363,0.04389815
1364,0.043501318
1366,0.036960375
1367,0.044338815
1368,0.04105441
1369,0.04360026
1370,0.05803465
1375,0.034067713
1376,0.027204694
1378,0.058180302
1379,0.031295724
1380,0.031275954
1384,0.028802454
1385,0.045895685
1386,0.05271704
1388,0.052370016
1389,0.03924974
1391,0.048551492
1392,0.026507666
1393,0.0481158
1395,0.043185323
1396,0.048815683
1399,0.042967804
1400,0.07472396
1401,0.04172208
1404,0.039114185
1405,0.031691544
1406,0.044354074
1407,0.03601362
1409,0.055454653
1411,0.03547625
1414,0.056331046
1415,0.04511721
1416,0.037109427
1418,0.07472396
1419,0.047061395
1420,0.031105464
1422,0.045227807
1424,0.04396288
1426,0.047781587
1427,0.049551766
1428,0.04942059
1429,0.049168795
1431,0.03627625
1432,0.04478883
1434,0.051021636
1435,0.045018405
1439,0.05077568
1440,0.051422402
1441,0.044822592
1442,0.039250344
1446,0.048584037
1447,0.036524646
1451,0.04555522
1452,0.028689865
1454,0.04289334
1457,0.036726087
1458,0.037541065
1459,0.048072357
1461,0.047558367
1462,0.042821396
1465,0.027447876
1468,0.05249539
1470,0.035453983
1471,0.03300429
1472,0.037954286
1476,0.041031398
1482,0.032005336
1485,0.035349242
1486,0.027579105
1487,0.07472396
1489,0.03321793
1492,0.04499559
1494,0.06300532
1495,0.03848206
1497,0.0425307
1499,0.0330756
1500,0.046751652
1501,0.047302023
1505,0.057606403
1507,0.03694203
1509,0.052549683
1511,0.039757296
1513,0.04225192
1514,0.05056342
1515,0.06065131
1517,0.07472396
1520,0.061349835
1522,0.04634454
1523,0.028592506
1524,0.0606614
1526,0.039869823
1527,0.034102496
1528,0.036358785
1531,0.0297651
1533,0.046697147
1534,0.04316023
1535,0.07472396
1538,0.04314804
1541,0.05228276
1542,0.028487483
1543,0.04046086
1546,0.03789181
1548,0.027225625
1549,0.051215168
1550,0.035823844
1551,0.04807427
1553,0.061483815
1558,0.034667797
1560,0.058992345
1561,0.0398205
1562,0.035745006
1565,0.045556247
1566,0.04681858
1567,0.0351045
1568,0.030331837
1569,0.03809631
1570,0.042280715
1573,0.034104254
1576,0.03345735
1577,0.028856084
1579,0.05974038
1580,0.046911165
1581,0.052899063
1584,0.04755104
1586,0.048110977
1587,0.05438121
1590,0.030652741
1591,0.038063366
1594,0.043900575
1595,0.026925331
1596,0.039150726
1601,0.053555176
1605,0.05853705
1607,0.04313152
1608,0.033223126
1610,0.04258904
1611,0.040371664
1612,0.04172106
1616,0.067471735
